Energy (eV), Intensity (a.u.)
1.500089999999999923e+00,4.199957753651387975e+02
1.500173999999999896e+00,4.368944321263690540e+02
1.500259000000000009e+00,4.328959094910562158e+02
1.500343999999999900e+00,3.838183858214770225e+02
1.500429000000000013e+00,3.659530197996838297e+02
1.500512999999999986e+00,3.550265263149771613e+02
1.500598000000000098e+00,4.238034709643353040e+02
1.500682999999999989e+00,3.262283137115113618e+02
1.500768000000000102e+00,3.811195285484625970e+02
1.500852999999999993e+00,4.602358062962409804e+02
1.500936999999999966e+00,4.388880649142694210e+02
1.501022000000000078e+00,3.759821515388543958e+02
1.501106999999999969e+00,3.823373169772298183e+02
1.501192000000000082e+00,4.302260763780680008e+02
1.501276999999999973e+00,3.396472007239128175e+02
1.501362000000000085e+00,4.013592868322081131e+02
1.501446999999999976e+00,3.592445583563758191e+02
1.501532000000000089e+00,3.448140537869001605e+02
1.501616999999999980e+00,4.064792324524622131e+02
1.501702000000000092e+00,3.401594575210803555e+02
1.501786999999999983e+00,3.845054460013018911e+02
1.501872000000000096e+00,3.147425007434010809e+02
1.501956999999999987e+00,3.590671734406287214e+02
1.502042000000000099e+00,3.169688046304676163e+02
1.502126999999999990e+00,3.854564476959415060e+02
1.502212000000000103e+00,3.951811248669290535e+02
1.502296999999999993e+00,3.427170122215322863e+02
1.502382000000000106e+00,4.180577226874501093e+02
1.502466999999999997e+00,4.726483130434067448e+02
1.502552000000000110e+00,4.236324189205861330e+02
1.502637000000000000e+00,4.436706128041203101e+02
1.502721999999999891e+00,4.050184070345871987e+02
1.502807000000000004e+00,3.353130278095526364e+02
1.502893000000000034e+00,4.036378608929980487e+02
1.502977999999999925e+00,4.374419975523283028e+02
1.503063000000000038e+00,4.850266670090948082e+02
1.503147999999999929e+00,4.153290819032311560e+02
1.503233000000000041e+00,4.421998467398332764e+02
1.503319000000000072e+00,4.173321306005608449e+02
1.503403999999999963e+00,4.303925265641489091e+02
1.503489000000000075e+00,4.468889706886051840e+02
1.503573999999999966e+00,3.875606489558080057e+02
1.503659999999999997e+00,3.695830750581499160e+02
1.503745000000000109e+00,3.791721252761344658e+02
1.503830000000000000e+00,3.646409303237816744e+02
1.503916000000000031e+00,4.637454977714965594e+02
1.504000999999999921e+00,4.457488125033768824e+02
1.504086000000000034e+00,4.725063226629790734e+02
1.504172000000000065e+00,4.372815900547049068e+02
1.504256999999999955e+00,3.848619494964207775e+02
1.504342000000000068e+00,4.150369789302994832e+02
1.504428000000000099e+00,5.277577507153364422e+02
1.504512999999999989e+00,5.234869900075096893e+02
1.504599000000000020e+00,5.467165890832332025e+02
1.504683999999999910e+00,4.702155875356484103e+02
1.504769999999999941e+00,5.415672356744589706e+02
1.504855000000000054e+00,5.235180637771876491e+02
1.504941000000000084e+00,5.295183099492002157e+02
1.505025999999999975e+00,4.770969954185651432e+02
1.505112000000000005e+00,5.174481708307530425e+02
1.505196999999999896e+00,4.959501856485728695e+02
1.505282999999999927e+00,5.259656437850615021e+02
1.505368000000000039e+00,5.559733242390548185e+02
1.505454000000000070e+00,5.790867789025757020e+02
1.505538999999999961e+00,5.369637126279117183e+02
1.505624999999999991e+00,5.222983289824188660e+02
1.505711000000000022e+00,4.767410953442650339e+02
1.505795999999999912e+00,5.581676116188597234e+02
1.505881999999999943e+00,5.537755952692814390e+02
1.505967999999999973e+00,5.905421235957639965e+02
1.506053000000000086e+00,5.449822229888035281e+02
1.506138999999999895e+00,5.817224650114133055e+02
1.506224999999999925e+00,5.121513208200309464e+02
1.506310000000000038e+00,6.517251902506332044e+02
1.506396000000000068e+00,5.718662471325455954e+02
1.506482000000000099e+00,6.942229974334613871e+02
1.506566999999999990e+00,6.109508454123277943e+02
1.506653000000000020e+00,7.469489562990378317e+02
1.506739000000000051e+00,6.773696498456521340e+02
1.506825000000000081e+00,6.489028802082779066e+02
1.506910999999999889e+00,7.163173995123096347e+02
1.506996999999999920e+00,5.988191528558290884e+02
1.507082000000000033e+00,7.038692834461506891e+02
1.507168000000000063e+00,6.890732273911110042e+02
1.507254000000000094e+00,7.153382620984494906e+02
1.507339999999999902e+00,7.484291695920280745e+02
1.507425999999999933e+00,7.883424848859760914e+02
1.507511999999999963e+00,7.461441989883435326e+02
1.507597999999999994e+00,7.689279539047702201e+02
1.507684000000000024e+00,7.814375356422019649e+02
1.507770000000000055e+00,7.358154762126465585e+02
1.507856000000000085e+00,7.038719076369637833e+02
1.507940999999999976e+00,7.334594632094200506e+02
1.508027999999999924e+00,7.322499691979454610e+02
1.508113999999999955e+00,7.583761914552555936e+02
1.508199999999999985e+00,7.605729248155860205e+02
1.508286000000000016e+00,7.286055014022769001e+02
1.508372000000000046e+00,7.478621193710728221e+02
1.508458000000000077e+00,7.739317189141802373e+02
1.508544000000000107e+00,8.614309512643635571e+02
1.508629999999999916e+00,8.260172406990806167e+02
1.508715999999999946e+00,7.701296265446407006e+02
1.508801999999999977e+00,8.985033501804306297e+02
1.508888000000000007e+00,7.573146340431469525e+02
1.508974000000000038e+00,7.935330356310818161e+02
1.509060999999999986e+00,6.967096700411530037e+02
1.509147000000000016e+00,8.283829857376518930e+02
1.509233000000000047e+00,7.213513985177496579e+02
1.509319000000000077e+00,7.677391301706196600e+02
1.509405000000000108e+00,6.573242695690430537e+02
1.509492000000000056e+00,6.491507259008187702e+02
1.509578000000000086e+00,6.103200029173730172e+02
1.509663999999999895e+00,5.919311753005058563e+02
1.509749999999999925e+00,6.552820483040134150e+02
1.509837000000000096e+00,5.415045195391505786e+02
1.509922999999999904e+00,5.877981019518639414e+02
1.510008999999999935e+00,5.081059628653183609e+02
1.510094999999999965e+00,5.543693409890954626e+02
1.510181999999999913e+00,5.869792567383101414e+02
1.510267999999999944e+00,5.209056127412857222e+02
1.510354999999999892e+00,5.602934136555902569e+02
1.510440999999999923e+00,4.806181558107193723e+02
1.510526999999999953e+00,5.097908246447253759e+02
1.510613999999999901e+00,5.593305143219415640e+02
1.510699999999999932e+00,5.034617184498000029e+02
1.510787000000000102e+00,5.087729068573044060e+02
1.510872999999999911e+00,5.038910296034585485e+02
1.510960000000000081e+00,5.295680766218953295e+02
1.511045999999999889e+00,5.484464956766032628e+02
1.511133000000000060e+00,5.774829916105973098e+02
1.511219000000000090e+00,5.317901671137917674e+02
1.511306000000000038e+00,5.336292317773144305e+02
1.511392000000000069e+00,5.524506784035065721e+02
1.511479000000000017e+00,4.897593662062703288e+02
1.511565000000000047e+00,4.915874622504614990e+02
1.511651999999999996e+00,4.560544392853610134e+02
1.511738000000000026e+00,4.544716497499704815e+02
1.511824999999999974e+00,4.630388788815137673e+02
1.511911999999999923e+00,4.105324158472642466e+02
1.511997999999999953e+00,4.869310865180076462e+02
1.512084999999999901e+00,4.310235763967503999e+02
1.512172000000000072e+00,4.700573818757060280e+02
1.512258000000000102e+00,4.480651190381636297e+02
1.512345000000000050e+00,5.175648077577186541e+02
1.512431999999999999e+00,5.226414251903593140e+02
1.512518000000000029e+00,4.396265040633498984e+02
1.512604999999999977e+00,5.327725138876952542e+02
1.512691999999999926e+00,4.463534200430246983e+02
1.512779000000000096e+00,5.834707461617113040e+02
1.512864999999999904e+00,4.902941340842376121e+02
1.512952000000000075e+00,4.715994195369023601e+02
1.513039000000000023e+00,5.612192001642940795e+02
1.513125999999999971e+00,6.169529958495959363e+02
1.513212999999999919e+00,5.169960798049073674e+02
1.513300000000000090e+00,5.219437485774187735e+02
1.513385999999999898e+00,6.351474859835623192e+02
1.513473000000000068e+00,5.724044064046920539e+02
1.513560000000000016e+00,4.352715467968546363e+02
1.513646999999999965e+00,5.213278471057601564e+02
1.513733999999999913e+00,5.566343676434107692e+02
1.513821000000000083e+00,4.803746630944071967e+02
1.513908000000000031e+00,4.075065825223036882e+02
1.513994999999999980e+00,4.258817753759362859e+02
1.514081999999999928e+00,4.611303924958141920e+02
1.514169000000000098e+00,4.591983211205041471e+02
1.514256000000000046e+00,4.572540428930579424e+02
1.514342999999999995e+00,4.113996368674120845e+02
1.514429999999999943e+00,4.195668295148493598e+02
1.514516999999999891e+00,3.770834067304530208e+02
1.514604000000000061e+00,4.223540588395759414e+02
1.514691000000000010e+00,3.933564766043489271e+02
1.514777999999999958e+00,4.520799432301532761e+02
1.514864999999999906e+00,4.298078763721558744e+02
1.514952999999999994e+00,3.838972075849601424e+02
1.515039999999999942e+00,3.683619203436128942e+02
1.515126999999999891e+00,3.359594219949204899e+02
1.515214000000000061e+00,3.979501790640696299e+02
1.515301000000000009e+00,3.419320025588691010e+02
1.515387999999999957e+00,2.724380039762992851e+02
1.515474999999999905e+00,4.489367213091207987e+02
1.515562999999999994e+00,3.760290141141698541e+02
1.515649999999999942e+00,4.008424617023756582e+02
1.515736999999999890e+00,3.616426809120589496e+02
1.515824000000000060e+00,3.392794997911429391e+02
1.515911999999999926e+00,3.269869211607568786e+02
1.515999000000000096e+00,4.459961138566956151e+02
1.516086000000000045e+00,3.966632382775368342e+02
1.516173999999999911e+00,4.011525229598654505e+02
1.516261000000000081e+00,3.417216543783681573e+02
1.516348000000000029e+00,3.664004275548289797e+02
1.516435999999999895e+00,2.901245983051053372e+02
1.516523000000000065e+00,2.878719248545006053e+02
1.516610000000000014e+00,2.687937663535605566e+02
1.516698000000000102e+00,2.530448536408196105e+02
1.516785000000000050e+00,3.717691864467907408e+02
1.516872999999999916e+00,3.290938466615971834e+02
1.516960000000000086e+00,4.074156332922964339e+02
1.517047999999999952e+00,4.319159005215328762e+02
1.517134999999999900e+00,3.254101374761286252e+02
1.517222999999999988e+00,4.405721408999577307e+02
1.517309999999999937e+00,4.012345457670141400e+02
1.517398000000000025e+00,3.853726077680898925e+02
1.517484999999999973e+00,3.359577533334137343e+02
1.517573000000000061e+00,3.502918426057744909e+02
1.517660000000000009e+00,3.411422579599186520e+02
1.517748000000000097e+00,4.628153196175600783e+02
1.517835000000000045e+00,4.100092572629638994e+02
1.517922999999999911e+00,3.504703969480065098e+02
1.518010999999999999e+00,2.808753761773961628e+02
1.518097999999999947e+00,3.085596488960716215e+02
1.518186000000000035e+00,3.328404045967722027e+02
1.518272999999999984e+00,3.805917191285484478e+02
1.518361000000000072e+00,3.511990782497095438e+02
1.518448999999999938e+00,3.620139617918022736e+02
1.518537000000000026e+00,3.493575891318947697e+02
1.518623999999999974e+00,3.467692816958394815e+02
1.518712000000000062e+00,3.139945070315252451e+02
1.518799999999999928e+00,3.950768879836439851e+02
1.518887000000000098e+00,3.388669392921368058e+02
1.518974999999999964e+00,3.462394570369056623e+02
1.519063000000000052e+00,3.435534712492838594e+02
1.519150999999999918e+00,3.709739567998250322e+02
1.519239000000000006e+00,4.418706633727055078e+02
1.519325999999999954e+00,3.889732368348016962e+02
1.519414000000000042e+00,3.661542041750760745e+02
1.519501999999999908e+00,3.801175465191551552e+02
1.519589999999999996e+00,4.709725788609878236e+02
1.519678000000000084e+00,4.380777040403241358e+02
1.519765999999999950e+00,4.152077037490322482e+02
1.519854000000000038e+00,4.558345685373750484e+02
1.519941999999999904e+00,4.229149088203165547e+02
1.520029999999999992e+00,3.532380358836877008e+02
1.520118000000000080e+00,4.272185078904118427e+02
1.520205999999999946e+00,3.675551258866214539e+02
1.520294000000000034e+00,3.513113128077299621e+02
1.520381999999999900e+00,3.751269714845304293e+02
1.520469999999999988e+00,4.523363406491442333e+02
1.520558000000000076e+00,4.093397629410264926e+02
1.520645999999999942e+00,3.429808769128582639e+02
1.520734000000000030e+00,2.866397640363855999e+02
1.520821999999999896e+00,3.370649727082825393e+02
1.520909999999999984e+00,3.641089352558562950e+02
1.520998000000000072e+00,3.411011359428083551e+02
1.521085999999999938e+00,4.114578519748704934e+02
1.521174000000000026e+00,3.217380605053867839e+02
1.521261999999999892e+00,4.620520726409142185e+02
1.521350999999999898e+00,4.022888643932001287e+02
1.521438999999999986e+00,3.725566824742003291e+02
1.521527000000000074e+00,4.727669365091545046e+02
1.521614999999999940e+00,4.130215164828090906e+02
1.521703000000000028e+00,4.665315063600145322e+02
1.521792000000000034e+00,4.433777578765377143e+02
1.521879999999999900e+00,5.068262273706321253e+02
1.521967999999999988e+00,3.471792319071173551e+02
1.522056000000000076e+00,3.506773404341040532e+02
1.522145000000000081e+00,5.138779807904900281e+02
1.522232999999999947e+00,3.742311154584645010e+02
1.522321000000000035e+00,3.976431383717177255e+02
1.522410000000000041e+00,4.442841966981850987e+02
1.522497999999999907e+00,4.244108735607033509e+02
1.522585999999999995e+00,3.812517511724685733e+02
1.522675000000000001e+00,3.779562105308772857e+02
1.522763000000000089e+00,4.179001346310650433e+02
1.522850999999999955e+00,4.146072573590556090e+02
1.522939999999999960e+00,3.514461903616277709e+02
1.523028000000000048e+00,3.514601400942876239e+02
1.523117000000000054e+00,3.979349119440457230e+02
1.523204999999999920e+00,4.045568160000441935e+02
1.523293999999999926e+00,4.742277152309757184e+02
1.523382000000000014e+00,5.306163155661299697e+02
1.523471000000000020e+00,4.209336554801762986e+02
1.523559000000000108e+00,4.142145587513547866e+02
1.523647999999999891e+00,3.709383544816304266e+02
1.523735999999999979e+00,6.396313421078598367e+02
1.523824999999999985e+00,5.896692586790587711e+02
1.523913000000000073e+00,5.496993348998955753e+02
1.524002000000000079e+00,4.367217442859380867e+02
1.524091000000000085e+00,5.360078926566307018e+02
1.524178999999999951e+00,5.159202663956884862e+02
1.524267999999999956e+00,6.085037935707371162e+02
1.524356999999999962e+00,5.784020712875158097e+02
1.524445000000000050e+00,7.007835436707549661e+02
1.524534000000000056e+00,5.613028486887433246e+02
1.524623000000000062e+00,6.802692251577840352e+02
1.524710999999999927e+00,5.275996339030913305e+02
1.524799999999999933e+00,6.067632088347689887e+02
1.524888999999999939e+00,6.560853475540927775e+02
1.524977999999999945e+00,6.722697297504366816e+02
1.525066000000000033e+00,7.613020923419238670e+02
1.525155000000000038e+00,7.410308741092228502e+02
1.525244000000000044e+00,7.803193677087801916e+02
1.525333000000000050e+00,8.890648605379243463e+02
1.525422000000000056e+00,8.455871261791912730e+02
1.525509999999999922e+00,9.642238752259704597e+02
1.525598999999999927e+00,1.026549057780737712e+03
1.525687999999999933e+00,1.029323963172381355e+03
1.525776999999999939e+00,1.068451378727189194e+03
1.525865999999999945e+00,1.279436996964233458e+03
1.525954999999999950e+00,1.285436901596546704e+03
1.526043999999999956e+00,1.324466431532180650e+03
1.526132999999999962e+00,1.436155185875146344e+03
1.526221999999999968e+00,1.521369089926237393e+03
1.526310999999999973e+00,1.514065992183733215e+03
1.526399999999999979e+00,1.625633305343979828e+03
1.526488999999999985e+00,1.905537669301853384e+03
1.526577999999999991e+00,1.789202265151100619e+03
1.526666999999999996e+00,2.085468247184551728e+03
1.526756000000000002e+00,1.982318370894218333e+03
1.526845000000000008e+00,2.219041299971261196e+03
1.526934000000000013e+00,2.168664226305834291e+03
1.527023000000000019e+00,1.943474352986801705e+03
1.527112000000000025e+00,2.074520845301331974e+03
1.527201000000000031e+00,2.202215909734361503e+03
1.527290000000000036e+00,2.181500804967929980e+03
1.527379000000000042e+00,2.197040665880390407e+03
1.527468000000000048e+00,2.614646385545487647e+03
1.527557999999999971e+00,2.580617860284332892e+03
1.527646999999999977e+00,2.592757834633981474e+03
1.527735999999999983e+00,2.875002545278845901e+03
1.527824999999999989e+00,3.160438279075775426e+03
1.527914999999999912e+00,3.373279808734035669e+03
1.528003999999999918e+00,3.586084131075381265e+03
1.528092999999999924e+00,3.940364708478840839e+03
1.528181999999999929e+00,4.162861151558942765e+03
1.528272000000000075e+00,4.543195557698963057e+03
1.528361000000000081e+00,4.676660586562866229e+03
1.528450000000000086e+00,5.287098651291398710e+03
1.528540000000000010e+00,5.499278543184945192e+03
1.528629000000000016e+00,5.816663904547605853e+03
1.528718000000000021e+00,6.166818055606704547e+03
1.528807999999999945e+00,6.559544190282122145e+03
1.528896999999999951e+00,6.837126811158523196e+03
1.528985999999999956e+00,6.542737855130503704e+03
1.529076000000000102e+00,6.136665610793141241e+03
1.529165000000000108e+00,5.937749794933219164e+03
1.529255000000000031e+00,5.755270888336443932e+03
1.529344000000000037e+00,5.756817966812259328e+03
1.529433999999999960e+00,5.863396283407792907e+03
1.529522999999999966e+00,5.874757835684687052e+03
1.529612999999999889e+00,6.217631194293433509e+03
1.529701999999999895e+00,6.304407834068027114e+03
1.529792000000000041e+00,6.804608498810531273e+03
1.529881000000000046e+00,6.966713345939660940e+03
1.529970999999999970e+00,6.744868805161941964e+03
1.530059999999999976e+00,6.637940577586937252e+03
1.530149999999999899e+00,6.389969830781498786e+03
1.530240000000000045e+00,6.158468137414494777e+03
1.530329000000000050e+00,5.854951244170000791e+03
1.530418999999999974e+00,5.476085897548037792e+03
1.530508999999999897e+00,5.398867762670658522e+03
1.530597999999999903e+00,5.321712676852094773e+03
1.530688000000000049e+00,4.828424711654773091e+03
1.530777999999999972e+00,4.875813201564818883e+03
1.530866999999999978e+00,4.631718959990452277e+03
1.530956999999999901e+00,3.988123942349648587e+03
1.531047000000000047e+00,3.672161390064474290e+03
1.531136999999999970e+00,3.186061434943710992e+03
1.531225999999999976e+00,2.854001524184312984e+03
1.531315999999999899e+00,2.580906561905124363e+03
1.531406000000000045e+00,2.461686372943891001e+03
1.531495999999999968e+00,2.342499558369107035e+03
1.531585999999999892e+00,2.226617515298116814e+03
1.531674999999999898e+00,2.110814348366391641e+03
1.531765000000000043e+00,1.975378051906257951e+03
1.531854999999999967e+00,2.180006276740584781e+03
1.531944999999999890e+00,2.116509974090216929e+03
1.532035000000000036e+00,1.915757225183833953e+03
1.532124999999999959e+00,2.123549217249302274e+03
1.532215000000000105e+00,2.020872442504778974e+03
1.532305000000000028e+00,1.999895278149813294e+03
1.532394999999999952e+00,2.191228239356153153e+03
1.532485000000000097e+00,2.222474277258497295e+03
1.532575000000000021e+00,2.214524182945108805e+03
1.532664999999999944e+00,2.023752148448181060e+03
1.532755000000000090e+00,1.950547989734150633e+03
1.532845000000000013e+00,1.893682874693867689e+03
1.532934999999999937e+00,1.859674795132524650e+03
1.533025000000000082e+00,1.721274411759529357e+03
1.533115000000000006e+00,1.781898645178239803e+03
1.533204999999999929e+00,1.924037169875458630e+03
1.533295000000000075e+00,1.736773169210874357e+03
1.533384999999999998e+00,2.015805304406364939e+03
1.533474999999999921e+00,1.936159385535062484e+03
1.533565999999999985e+00,2.078125683057914557e+03
1.533655999999999908e+00,2.031080490019341596e+03
1.533746000000000054e+00,2.257743520118820925e+03
1.533835999999999977e+00,2.591836389732014595e+03
1.533925999999999901e+00,2.642443018029241102e+03
1.534016000000000046e+00,2.780962268963799033e+03
1.534107000000000109e+00,2.961718877332061311e+03
1.534197000000000033e+00,3.337798061955503726e+03
1.534286999999999956e+00,3.808151501694982471e+03
1.534378000000000020e+00,4.030959451376063953e+03
1.534467999999999943e+00,4.445727696639250098e+03
1.534558000000000089e+00,4.635870851157196739e+03
1.534648999999999930e+00,4.471336326314572943e+03
1.534739000000000075e+00,4.163796290243918520e+03
1.534828999999999999e+00,3.739290905885085976e+03
1.534920000000000062e+00,3.392911224917500022e+03
1.535009999999999986e+00,2.955670076212561071e+03
1.535099999999999909e+00,2.434066197642373481e+03
1.535190999999999972e+00,2.192066480111008786e+03
1.535280999999999896e+00,1.794231892072766186e+03
1.535371999999999959e+00,1.568663549778410470e+03
1.535462000000000105e+00,1.359458401719188259e+03
1.535552999999999946e+00,1.315906448074926629e+03
1.535643000000000091e+00,1.168510960077204800e+03
1.535733999999999932e+00,1.073065540067528445e+03
1.535824000000000078e+00,9.971765406198099981e+02
1.535914999999999919e+00,9.504793155668093050e+02
1.536005000000000065e+00,7.448436843304667718e+02
1.536095999999999906e+00,8.571874446561666900e+02
1.536186000000000051e+00,8.268125642285453978e+02
1.536276999999999893e+00,7.088351952135255942e+02
1.536367999999999956e+00,7.108858908282682023e+02
1.536458000000000101e+00,5.832937974257811220e+02
1.536548999999999943e+00,7.863636855513432238e+02
1.536640000000000006e+00,6.458003829754022718e+02
1.536729999999999929e+00,8.326457137885213342e+02
1.536820999999999993e+00,7.277734768881343825e+02
1.536912000000000056e+00,7.136514764158710022e+02
1.537001999999999979e+00,6.283244748650636211e+02
1.537093000000000043e+00,5.818493536826733816e+02
1.537184000000000106e+00,5.094912960805093007e+02
1.537274999999999947e+00,5.472395231296789007e+02
1.537365000000000093e+00,5.461827653918576289e+02
1.537455999999999934e+00,5.224332755717452983e+02
1.537546999999999997e+00,4.080922038919072747e+02
1.537638000000000060e+00,2.485003354046593813e+02
1.537728999999999902e+00,3.477587073654224241e+02
1.537819999999999965e+00,3.726022712153323937e+02
1.537910000000000110e+00,4.168927278917676631e+02
1.538000999999999951e+00,3.673671533283900317e+02
1.538092000000000015e+00,3.792887216210249335e+02
1.538183000000000078e+00,3.750538817773660867e+02
1.538273999999999919e+00,4.031462409030134495e+02
1.538364999999999982e+00,4.183136901836096513e+02
1.538456000000000046e+00,4.948678388669850392e+02
1.538547000000000109e+00,5.035737902451444370e+02
1.538637999999999950e+00,4.799907116362376200e+02
1.538729000000000013e+00,4.402800693664066785e+02
1.538820000000000077e+00,5.232765437516707152e+02
1.538910999999999918e+00,5.836601550796556239e+02
1.539001999999999981e+00,5.504378255912693021e+02
1.539093000000000044e+00,7.108536614624042613e+02
1.539184000000000108e+00,6.356997407854887570e+02
1.539274999999999949e+00,7.670381635510429987e+02
1.539366000000000012e+00,7.274011196291294254e+02
1.539457000000000075e+00,7.039127207508461197e+02
1.539549000000000056e+00,6.836262949041290540e+02
1.539639999999999898e+00,7.343235311770379212e+02
1.539730999999999961e+00,7.946860289533688047e+02
1.539822000000000024e+00,8.550411472192934070e+02
1.539913000000000087e+00,7.832795947283204896e+02
1.540003999999999929e+00,8.339773859825097588e+02
1.540095999999999909e+00,9.426111327550072474e+02
1.540186999999999973e+00,9.675278311300544374e+02
1.540278000000000036e+00,1.005330155328076444e+03
1.540369000000000099e+00,1.068890136652942147e+03
1.540461000000000080e+00,1.142060047959093026e+03
1.540551999999999921e+00,1.273193262347724840e+03
1.540642999999999985e+00,1.336720739875025401e+03
1.540734999999999966e+00,1.416289216831807153e+03
1.540826000000000029e+00,1.682467095688407653e+03
1.540917000000000092e+00,1.694478574039362002e+03
1.541009000000000073e+00,1.995888650777968223e+03
1.541099999999999914e+00,2.181503179849480148e+03
1.541191999999999895e+00,2.367033443887220074e+03
1.541282999999999959e+00,2.600771618537433369e+03
1.541374000000000022e+00,2.461654712476636632e+03
1.541466000000000003e+00,2.621390755399099362e+03
1.541557000000000066e+00,2.517688506850665817e+03
1.541649000000000047e+00,2.253390542635176189e+03
1.541740000000000110e+00,1.941059570162894488e+03
1.541832000000000091e+00,1.798999650725707852e+03
1.541922999999999933e+00,1.637777328826982739e+03
1.542014999999999914e+00,1.338556117805383565e+03
1.542105999999999977e+00,1.370069464600955826e+03
1.542197999999999958e+00,1.202595479039922111e+03
1.542289000000000021e+00,1.060898997964347245e+03
1.542381000000000002e+00,9.609345090039880688e+02
1.542472999999999983e+00,1.040637773835183680e+03
1.542564000000000046e+00,1.036990068060814338e+03
1.542656000000000027e+00,9.178973755930132938e+02
1.542748000000000008e+00,9.303033504876370898e+02
1.542839000000000071e+00,8.690372259755843061e+02
1.542931000000000052e+00,8.302096945811151727e+02
1.543023000000000033e+00,9.484241402701350125e+02
1.543114000000000097e+00,8.552073417728761342e+02
1.543206000000000078e+00,8.324777650466680825e+02
1.543298000000000059e+00,8.834384477515302478e+02
1.543390000000000040e+00,7.358686317423532728e+02
1.543481000000000103e+00,8.829530752547752854e+02
