Energy (eV), Intensity (a.u.)
1.396294474761760052e+00,1.380419672230262904e+02
1.396362517308070039e+00,1.537456726282307784e+02
1.396430566486239977e+00,1.498082700883397536e+02
1.396498620724490047e+00,1.497987141316747000e+02
1.396566683169129908e+00,1.419372438232092293e+02
1.396634752248540057e+00,1.380036164180132801e+02
1.396702827963689941e+00,1.222971491680828109e+02
1.396770910315549896e+00,1.262160584160722721e+02
1.396838903320640091e+00,1.183633888728459311e+02
1.396907094933270033e+00,1.340501135933477315e+02
1.396975197201069996e+00,1.379652522066688789e+02
1.397043306109470029e+00,1.340360226859775707e+02
1.397111517681330017e+00,1.301080457214592627e+02
1.397179543851930106e+00,1.418625309713758611e+02
1.397247768728560047e+00,1.536132476212140432e+02
1.397315904218410010e+00,1.261697380636863954e+02
1.397384142413079955e+00,1.261639427781923075e+02
1.397452289629280031e+00,1.535826876106278576e+02
1.397520541145740092e+00,1.457381712041106709e+02
1.397588703241819941e+00,1.261465557783932212e+02
1.397656871987249971e+00,1.496362120082318086e+02
1.397725239595519975e+00,1.339655221540806451e+02
1.397793421661309932e+00,1.182998452509706908e+02
1.397861706504410106e+00,1.496075233376342908e+02
1.397929998019519893e+00,1.182907475183813801e+02
1.397998296207620061e+00,1.261117477671111686e+02
1.398066601069680059e+00,1.378423858755901961e+02
1.398134912606699976e+00,1.417462236352736795e+02
1.398203134647620027e+00,1.221834321701836643e+02
1.398271459528060090e+00,1.730117527903286145e+02
1.398339791086389949e+00,1.339019938887031458e+02
1.398408225523789961e+00,1.260768933675739447e+02
1.398476474240599954e+00,1.690633828622785870e+02
1.398544922057469941e+00,1.534196258768785697e+02
1.398613280346520105e+00,1.416880095103794019e+02
1.398681645318349931e+00,1.338666598422475147e+02
1.398750016973939969e+00,1.299537004791259278e+02
1.398818491570950062e+00,1.377577829373770157e+02
1.398886876606409979e+00,1.299408086356501144e+02
1.398955268328579971e+00,1.377423827294292380e+02
1.399023666738429927e+00,1.182177460966575353e+02
1.399092264425640053e+00,1.377269817700101555e+02
1.399160676232630074e+00,1.416214135818330817e+02
1.399229191043459997e+00,1.377115715505495359e+02
1.399297614663060019e+00,1.338029789589360234e+02
1.399366142886210085e+00,1.610977360824318225e+02
1.399434677821800088e+00,1.181902531858215468e+02
1.399503123119880010e+00,1.415797505441258579e+02
1.399571671473859968e+00,1.103842929635826380e+02
1.399640226543239940e+00,1.376653079872045566e+02
1.399708884708249945e+00,1.220690243496771217e+02
1.399777356832119901e+00,1.376498729786264050e+02
1.399845932053590092e+00,1.610175156021401790e+02
1.399914513994410026e+00,1.337391634139678160e+02
1.399983102655560030e+00,1.259427718318189733e+02
1.400051794464509891e+00,1.376189850216473758e+02
1.400120300142799978e+00,1.298244612451907756e+02
1.400189005416240029e+00,1.259252036319772827e+02
1.400257620978039963e+00,1.220271877287623710e+02
1.400326339729420111e+00,1.259134782442906584e+02
1.400394968752209923e+00,1.336894249456443333e+02
1.400463604502250048e+00,1.453531592554717236e+02
1.400532246980529916e+00,1.258958720424506481e+02
1.400600992690189894e+00,1.414461510685819405e+02
1.400669746731159959e+00,1.531030293827293747e+02
1.400738409419179931e+00,1.453172100713359498e+02
1.400807175369960023e+00,1.453082168587355909e+02
1.400875948072880073e+00,1.297530319038886830e+02
1.400944630979410022e+00,1.297465210216093681e+02
1.401013417180100085e+00,1.258547060927910337e+02
1.401082210135909945e+00,1.491569011079633071e+02
1.401150913269880061e+00,1.413791582596838623e+02
1.401219719729430047e+00,1.336038975780374756e+02
1.401288532947090104e+00,1.374795712492574182e+02
1.401357449530260091e+00,1.374718033365717247e+02
1.401426179660689941e+00,1.258193150997089447e+02
1.401495109784020032e+00,1.879086201918889572e+02
1.401563853418650085e+00,1.568501303408099545e+02
1.401632797086149962e+00,1.607189491537281754e+02
1.401701650882829941e+00,1.257956570295369261e+02
1.401770511444599965e+00,1.645743989204140973e+02
1.401839378772439915e+00,1.374173465940500023e+02
1.401908252867350102e+00,1.800590199993689566e+02
1.401977327114130034e+00,1.916742044723840195e+02
1.402046214765179988e+00,1.180140464458790319e+02
1.402115109186309994e+00,1.490122467214191602e+02
1.402184010378509926e+00,1.180046461546367453e+02
1.402253015072699949e+00,1.451187914510460359e+02
1.402322026558979973e+00,1.296157330561384811e+02
1.402390948089389910e+00,1.489735650769271160e+02
1.402459973153340034e+00,1.218580591387543706e+02
1.402529005012399965e+00,1.373392820680645627e+02
1.402598045254080050e+00,1.528155410711550815e+02
1.402667090706499975e+00,1.450644297440641139e+02
1.402736046160439898e+00,1.218366676702853653e+02
1.402805105200559899e+00,1.527846100406086975e+02
1.402874074225159973e+00,1.411686615589156020e+02
1.402943243682170049e+00,1.256885013502642039e+02
1.403012323125659933e+00,1.450190347127201562e+02
1.403081409372280097e+00,1.411432573733047491e+02
1.403150599276850041e+00,1.334026486652646213e+02
1.403219602278950040e+00,1.333954085183031566e+02
1.403288708940999996e+00,1.449826496020085358e+02
1.403357919292639977e+00,1.604303800101138506e+02
1.403427039579550062e+00,1.295100672862743352e+02
