1.50009,	452.828471111111
1.500174,	443.193833888889
1.500259,	462.38817
1.500344,	398.745151111111
1.500429,	412.162475555556
1.500513,	425.575426111111
1.500598,	433.207906111111
1.500683,	411.962042777778
1.500768,	413.820021111111
1.500853,	438.770548333333
1.500937,	384.824049444445
1.501022,	436.704474444445
1.501107,	386.622789444445
1.501192,	348.096415
1.501277,	409.571906111111
1.501362,	399.89268
1.501447,	388.294338888889
1.501532,	426.670125555556
1.501617,	468.876715555556
1.501702,	432.295735555556
1.501787,	409.173583888889
1.501872,	374.534810555556
1.501957,	432.085469444445
1.502042,	399.37422
1.502127,	435.784844444445
1.502212,	468.344760555556
1.502297,	420.290425555556
1.502382,	477.786967222222
1.502467,	416.317105
1.502552,	400.903964444445
1.502637,	427.689412222222
1.502722,	448.713412777778
1.502807,	440.971543888889
1.502893,	404.477844444445
1.502978,	400.578952222222
1.503063,	446.506008333334
1.503148,	400.449015555556
1.503233,	390.805494444445
1.503319,	356.264851666667
1.503404,	352.376878333333
1.503489,	377.21188
1.503574,	350.348103888889
1.50366,	398.145243333333
1.503745,	361.717529444444
1.50383,	386.534830555556
1.503916,	411.344096111111
1.504001,	395.974019444445
1.504086,	392.084553888889
1.504172,	413.0562
1.504257,	403.42926
1.504342,	389.982062222222
1.504428,	414.766540555556
1.504513,	397.499728888889
1.504599,	387.881503888889
1.504684,	458.504706666667
1.50477,	420.227762777778
1.504855,	460.265740555556
1.504941,	448.733995
1.505026,	431.478407222222
1.505112,	463.859456111111
1.505197,	435.155503888889
1.505283,	440.809698888889
1.505368,	456.001824444445
1.505454,	431.128370555556
1.505539,	465.390489444445
1.505625,	440.52358
1.505711,	417.571445
1.505796,	482.321607777778
1.505882,	459.370117222222
1.505968,	497.411363333333
1.506053,	493.51966
1.506139,	508.680894444445
1.506225,	527.646958888889
1.50631,	506.611226666667
1.506396,	508.433227777778
1.506482,	496.927049444445
1.506567,	506.364508888889
1.506653,	531.025424444445
1.506739,	544.260287777778
1.506825,	570.809665
1.506911,	538.376397222222
1.506997,	564.918111111111
1.507082,	530.594482222222
1.507168,	549.522942222222
1.507254,	515.212945
1.50734,	568.352966111111
1.507426,	520.74724
1.507512,	537.764756666667
1.507598,	516.778293333334
1.507684,	531.891276111111
1.50777,	535.603502222222
1.507856,	520.324537222222
1.507941,	512.645297777778
1.508028,	533.444213888889
1.508114,	578.911200555556
1.5082,	559.839579444445
1.508286,	574.928317777778
1.508372,	550.172017222222
1.508458,	610.781453333333
1.508544,	540.510660555556
1.50863,	559.385070555556
1.508716,	648.402099444445
1.508802,	606.593492222222
1.508888,	625.44793
1.508974,	634.821235
1.509061,	630.928751666667
1.509147,	659.241875555556
1.509233,	647.770385555556
1.509319,	606.002468333333
1.509405,	660.814005555556
1.509492,	628.523288333333
1.509578,	565.957573888889
1.509664,	558.295525555556
1.50975,	579.019232777778
1.509837,	582.708943888889
1.509923,	580.722656111111
1.510009,	527.671983333333
1.510095,	612.680799444445
1.510182,	635.269436111111
1.510268,	546.318562777778
1.510355,	582.141045555556
1.510441,	631.180284444445
1.510527,	593.288574444445
1.510614,	621.529405555556
1.5107,	604.428778888889
1.510787,	594.887898888889
1.510873,	638.220418333333
1.51096,	598.470391111111
1.511046,	624.799668888889
1.511133,	609.599677222222
1.511219,	613.274603888889
1.511306,	664.115600555556
1.511392,	626.279907222222
1.511479,	639.380696666667
1.511565,	588.360867222222
1.511652,	616.547241111111
1.511738,	588.169623333333
1.511825,	593.72857
1.511912,	537.095642222222
1.511998,	582.230088888889
1.512085,	559.528232222222
1.512172,	551.902737222222
1.512258,	568.762885
1.512345,	578.085462777778
1.512432,	581.756931111111
1.512518,	532.719862222222
1.512605,	662.497897777778
1.512692,	639.808688888889
1.512779,	650.993516666667
1.512865,	632.075873333333
1.512952,	652.662692777778
1.513039,	641.273125555556
1.513126,	659.971448888889
1.513213,	646.704440555556
1.5133,	699.229465
1.513386,	670.925564444444
1.513473,	665.179375555556
1.51356,	644.405110555556
1.513647,	661.206122777778
1.513734,	693.026665555556
1.513821,	662.868855555556
1.513908,	705.943807222222
1.513995,	685.179714444445
1.514082,	716.975504444445
1.514169,	684.956800555556
1.514256,	628.556722222222
1.514343,	645.338338333333
1.51443,	712.757771666667
1.514517,	708.891058888889
1.514604,	693.77516
1.514691,	710.535142777778
1.514778,	821.012573333334
1.514865,	841.494683333334
1.514953,	788.890041666667
1.51504,	874.944661666667
1.515127,	945.985311111111
1.515214,	842.820095555556
1.515301,	962.531127777778
1.515388,	982.970106111111
1.515475,	1035.22664388889
1.515563,	1079.97938388889
1.51565,	980.618896666667
1.515737,	1057.174615
1.515824,	1081.32297111111
1.515912,	1069.924045
1.515999,	1110.89409722222
1.516086,	1138.76166444444
1.516174,	1144.18497722222
1.516261,	1091.65900333333
1.516348,	1106.43310555556
1.516436,	1128.67702888889
1.516523,	1203.22794611111
1.51661,	1206.76825611111
1.516698,	1172.95220277778
1.516785,	1245.59190555556
1.516873,	1241.65486666667
1.51696,	1301.19181333333
1.517048,	1375.64168277778
1.517135,	1479.92702888889
1.517223,	1377.05973333333
1.51731,	1462.65448666667
1.517398,	1497.85766611111
1.517485,	1648.68055555556
1.517573,	1529.07009555556
1.51766,	1650.00813777778
1.517748,	1653.46774611111
1.517835,	1735.20602777778
1.517923,	1639.88471111111
1.518011,	1652.66018333333
1.518098,	1721.31822388889
1.518186,	1689.37377944445
1.518273,	1687.23646388889
1.518361,	1759.57912888889
1.518449,	1787.21788222222
1.518537,	1796.23372388889
1.518624,	1838.74593111111
