Energy (eV), Intensity (a.u.)
1.408504956623789939e+00,1.092148279991124156e+02
1.408574975288569897e+00,1.427965399990766286e+02
1.408645002515360067e+00,1.847659299990394572e+02
1.408714937481410079e+00,1.595450279990008084e+02
1.408784977025119955e+00,1.259364479989605456e+02
1.408854925890820065e+00,1.594939579989187450e+02
1.408924979355669960e+00,2.098268899988752025e+02
1.408995041388519942e+00,1.762263639988299246e+02
1.409065011116489963e+00,1.258558279987829138e+02
1.409135183157590010e+00,1.174466319987338636e+02
1.409205166805290066e+00,1.845294499986830203e+02
1.409275255105870039e+00,1.677272039986300456e+02
1.409345351980449967e+00,1.173902439985749595e+02
1.409415454226589981e+00,1.089877779985176858e+02
1.409485563446990053e+00,1.257349999984581075e+02
1.409555679642680026e+00,1.340958559983961322e+02
1.409625802814719941e+00,9.217614799833172867e+01
1.409696032326279935e+00,1.089180059982646327e+02
1.409766169464010011e+00,1.591623839981949686e+02
1.409836411360190001e+00,2.010150299981224293e+02
1.409906562467629909e+00,1.256142879980470610e+02
1.409976720556610053e+00,1.423400719979687210e+02
1.410046985039810075e+00,1.088308639978871355e+02
1.410117254922879981e+00,1.506647639978022823e+02
1.410187433982400096e+00,1.339028019977141923e+02
1.410257717865099902e+00,1.338813619976224629e+02
1.410327912510910053e+00,8.366245999752720763e+01
1.410398112540639959e+00,4.182453199742818839e+01
1.410468417425909893e+00,1.505442199973250581e+02
1.410538729320579998e+00,1.087089759972178626e+02
1.410608950339500067e+00,1.588569179971065353e+02
1.410679375747160069e+00,9.195506999699044570e+01
1.410749708676489966e+00,1.253732079968699225e+02
1.410819950703930070e+00,1.337100219967448140e+02
1.410890297651729908e+00,1.169775319966145020e+02
1.410960653220709959e+00,1.253130119964790623e+02
1.411031014201109990e+00,1.419986719963382313e+02
1.411101480153849952e+00,1.336244199961916195e+02
1.411171855180650025e+00,1.419532159960393756e+02
1.411242140859380045e+00,1.669770499958813446e+02
1.411312627901269989e+00,7.512764799571660035e+01
1.411383023991070074e+00,1.418850699955455639e+02
1.411453525107339901e+00,1.335175019953675530e+02
1.411523936860830108e+00,2.085877079951826545e+02
1.411594452055860094e+00,1.835278019949902273e+02
1.411664778231080053e+00,1.084308859947907564e+02
1.411735307499129899e+00,2.251665639945828161e+02
1.411805845422479999e+00,1.584251859943666716e+02
1.411876388787510095e+00,1.000419919941419522e+02
1.411946841130579999e+00,1.250324699939087196e+02
1.412017400194770067e+00,3.333665399366591942e+01
1.412087866611779985e+00,1.999879159934139068e+02
1.412158536265059938e+00,6.665196999315121218e+01
1.412229016769849910e+00,1.666032399928789118e+02
